year,Fecha_Hazard,Prob_Hazard,Fecha_XGB,Prob_XGB,Fecha_Final,Prob_Final
2025,2025-08-25,0.1212,2025-10-06,0.3429,2025-10-06,0.3699
2026,2026-01-05,0.0615,2026-10-12,0.3463,2026-10-05,0.4525
2027,2027-01-04,0.0238,2027-10-18,0.3463,2027-10-04,0.4388
2028,2028-01-03,0.0091,2028-10-16,0.3463,2028-10-02,0.4385
2029,2029-01-01,0.0035,2029-10-15,0.3463,2029-10-01,0.4385
2030,2030-01-07,0.0013,2030-10-14,0.3463,2030-10-07,0.452
2031,2031-01-06,0.0005,2031-10-13,0.3463,2031-10-06,0.452
2032,2032-01-05,0.0002,2032-10-11,0.3463,2032-10-04,0.452
2033,2033-01-03,0.0001,2033-10-17,0.3463,2033-10-03,0.4385
2034,2034-01-02,0.0,2034-10-16,0.3463,2034-10-02,0.4385
2035,2035-01-01,0.0,2035-03-05,0.3434,2035-03-05,0.3867
