Fecha,quarter,Hazard,XGB,Final,Promedio_Modelos
2025-08-15,2025Q3,0.1193,0.1617,0.2574,0.1795
2025-11-15,2025Q4,0.109,0.2058,0.2754,0.1967
2026-02-14,2026Q1,0.0591,0.2478,0.2801,0.1957
2026-05-16,2026Q2,0.0542,0.1615,0.2269,0.1476
2026-08-15,2026Q3,0.0497,0.1648,0.321,0.1785
2026-11-15,2026Q4,0.0456,0.2061,0.1926,0.1481
2027-02-14,2027Q1,0.0229,0.2498,0.357,0.2099
2027-05-16,2027Q2,0.0209,0.1657,0.2934,0.16
2027-08-15,2027Q3,0.0191,0.1565,0.3267,0.1675
2027-11-15,2027Q4,0.0175,0.2141,0.1914,0.141
2028-02-15,2028Q1,0.0087,0.2498,0.3568,0.2051
2028-05-16,2028Q2,0.008,0.1657,0.2934,0.1557
2028-08-15,2028Q3,0.0073,0.1567,0.3267,0.1636
2028-11-15,2028Q4,0.0067,0.2141,0.1913,0.1373
2029-02-14,2029Q1,0.0033,0.2498,0.3568,0.2033
2029-05-16,2029Q2,0.003,0.1676,0.2942,0.155
2029-08-15,2029Q3,0.0028,0.1567,0.3267,0.1621
2029-11-15,2029Q4,0.0024,0.2159,0.2044,0.1409
2030-02-14,2030Q1,0.0012,0.2506,0.3553,0.2024
2030-05-16,2030Q2,0.0011,0.1676,0.2942,0.1543
2030-08-15,2030Q3,0.001,0.1608,0.3303,0.1641
2030-11-15,2030Q4,0.0009,0.2061,0.1942,0.1337
